File Name,down,right,up,left,t,l,L,E,Young's Modulus (MPa),Volume Fraction,Dense strain,SEA,Mass,EYM,Critical Strain,PS
60mm_1_037,180,90,180,90,0.8,15,25,427.384,8.766882262,0.257516113,0.639477441,688.2544984,0.023408215,0.020512893,0.15,0.285806429
60mm_1_038,180,90,150,90,0.8,15,25,427.384,8.173879696,0.259397512,0.636843483,723.4676941,0.023579234,0.019125376,0.082462358,0.301696986
60mm_1_039,180,90,120,90,0.8,15,25,427.384,7.027724277,0.265766821,0.62792645,778.6183428,0.024158204,0.016443583,0.032082762,0.344598743
60mm_1_040,180,90,90,90,0.8,15,25,427.384,9.491193005,0.279607503,0.608549495,1024.376895,0.025416322,0.022207647,0.082495324,0.49327473
60mm_1_041,150,180,180,180,0.8,15,25,427.384,19.7589359,0.215214733,0.698699374,518.5249949,0.019563019,0.046232278,0.032085804,0.160657267
60mm_1_042,150,180,180,150,0.8,15,25,427.384,2.202525581,0.217096132,0.696065416,288.7086461,0.019734038,0.005153505,0.013750483,0.09178408
60mm_1_043,150,180,180,120,0.8,15,25,427.384,1.308491676,0.223465441,0.687148383,324.8953978,0.020313009,0.00306163,0.013750738,0.107850553
60mm_1_044,150,180,180,90,0.8,15,25,427.384,3.682161043,0.237306123,0.667771428,413.8031466,0.021571127,0.00861558,0.013748844,0.148233937
60mm_1_045,150,180,150,180,0.8,15,25,427.384,25.71183087,0.217096132,0.696065416,516.7414868,0.019734038,0.060160958,0.032083166,0.161264462
60mm_1_046,150,180,150,150,0.8,15,25,427.384,18.31405659,0.218977531,0.693431457,290.3332847,0.019905058,0.042851526,0.013750917,0.093202758
60mm_1_047,150,180,150,120,0.8,15,25,427.384,3.609896819,0.22534684,0.684514424,337.2724135,0.020484028,0.008446495,0.013748237,0.111744668
60mm_1_048,150,180,150,90,0.8,15,25,427.384,5.093560802,0.239187522,0.66513747,431.0391545,0.021742146,0.011917996,0.013750182,0.156086872
60mm_1_049,150,180,120,180,0.8,15,25,427.384,26.52038456,0.22346544,0.687148383,500.8445405,0.020313009,0.062052825,0.022918268,0.162886309
60mm_1_050,150,180,120,150,0.8,15,25,427.384,8.785370039,0.22534684,0.684514425,343.2217071,0.020484028,0.020556151,0.013751092,0.115426669
60mm_1_051,150,180,120,120,0.8,15,25,427.384,10.27854802,0.231716149,0.675597392,421.3408976,0.021062998,0.024049913,0.013750378,0.148172222
60mm_1_052,150,180,120,90,0.8,15,25,427.384,2.998385107,0.24555683,0.656220437,564.7578637,0.022321116,0.00701567,0.091740084,0.234787636
60mm_1_053,150,180,90,180,0.8,15,25,427.384,16.71444461,0.237306123,0.667771428,592.6702847,0.021571127,0.039108728,0.0229173,0.216724022
