     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
        60    0.6605250670E+00    0.6168263335E+00    0.1150826854E-02    0.1192569588E+01    0.8194012624E-39
        61    0.4762114230E+00    0.3686021527E+00    0.6198453242E-03    0.1788854382E+01    0.1250000000E+00
        62    0.2175049980E+00    0.3977200534E+00    0.7279837206E-03    0.9797958971E+00    0.1953125000E+01
        63    0.5830020170E+00    0.5292010709E+00    0.9839431196E-03    0.1341640786E+01    0.3158197752E-12
        64    0.3232841430E+00    0.3448700528E+00    0.7018177331E-03    0.1093188789E+01    0.1000000000E+01
        65    0.5970128930E+00    0.5079343711E+00    0.9839431196E-03    0.1229837388E+01    0.7005208610E-25
        66    0.5516868310E+00    0.6083791426E+00    0.1196908161E-02    0.9797958971E+00    0.2218103222E-12
        67    0.3817040960E+00    0.4441117340E+00    0.6934141099E-03    0.1917028951E+01    0.1250000000E+00
        68    0.6510522730E+00    0.7054877151E+00    0.1260017059E-02    0.1259737582E+01    0.2218103222E-12
        69    0.4250157270E+00    0.4303925528E+00    0.7833424737E-03    0.1555093727E+01    0.4986244870E-04
        70    0.2779236360E+00    0.3195797204E+00    0.6666666667E-03    0.1088662108E+01    0.1000000000E+01
        71    0.5102428820E+00    0.5042546476E+00    0.9297679862E-03    0.1408429434E+01    0.3947747190E-13
        72    0.7533647830E+00    0.7884143052E+00    0.1386828220E-02    0.1232375754E+01    0.8756510763E-26
        73    0.4084250600E+00    0.4116809612E+00    0.8447502772E-03    0.1232375754E+01    0.9357622969E-13
        74    0.4196264740E+00    0.4084621872E+00    0.7560102351E-03    0.1539679267E+01    0.4791102960E-13
        75    0.3757794090E+00    0.3118628620E+00    0.7018177331E-03    0.1229837388E+01    0.5415291070E-13
        76    0.5443558350E+00    0.6299481882E+00    0.1196908161E-02    0.1093188789E+01    0.2075617366E-25
        77    0.8220837760E+00    0.8163442630E+00    0.1317367891E-02    0.1632993162E+01    0.8756510763E-26
        78    0.3425563590E+00    0.3264251898E+00    0.7018177331E-03    0.1306394529E+01    0.5415291070E-13
        79    0.7476974670E+00    0.7403697906E+00    0.1386828220E-02    0.9797958971E+00    0.3947747190E-13
        80    0.8843860000E+00    0.7107885260E+00    0.1150826854E-02    0.1686548085E+01    0.8756510763E-26
        81    0.4234956420E+00    0.4889697574E+00    0.7427461564E-03    0.2011386391E+01    0.3072471188E-23
        82    0.5987455400E+00    0.6292208116E+00    0.1126333703E-02    0.1347219359E+01    0.1942284474E-38
        83    0.4257203570E+00    0.4190645097E+00    0.7904207343E-03    0.1469693846E+01    0.1169702871E-13
        84    0.7489869420E+00    0.6573343334E+00    0.1150826854E-02    0.1405528443E+01    0.8756510763E-26
        85    0.7345662990E+00    0.6774596498E+00    0.9297679862E-03    0.2319003617E+01    0.2021246561E-13
        86    0.2776839310E+00    0.4543960323E+00    0.7279837206E-03    0.1277753130E+01    0.1953125000E+01
        87    0.4320600200E+00    0.3511727711E+00    0.6518702299E-03    0.1618988448E+01    0.2373743796E-08
        88    0.7512542860E+00    0.7636662931E+00    0.1386828220E-02    0.1102270384E+01    0.9357622969E-13
        89    0.4102691420E+00    0.4458009271E+00    0.7841966907E-03    0.1632993162E+01    0.9357622969E-13
        90    0.8181285950E+00    0.7538385495E+00    0.1239690648E-02    0.1278019301E+01    0.1000000000E+01
        91    0.7058253570E+00    0.6920962492E+00    0.1317367891E-02    0.9797958971E+00    0.9357622969E-13
        92    0.8092309000E+00    0.7764051281E+00    0.1317367891E-02    0.1423024947E+01    0.8194012624E-39
        93    0.4336381390E+00    0.4203124254E+00    0.8447502772E-03    0.1277753130E+01    0.2594521707E-26
        94    0.5761827360E+00    0.5469700702E+00    0.9297679862E-03    0.1632993162E+01    0.3947747190E-13
        95    0.2990226950E+00    0.3889843193E+00    0.7279837206E-03    0.1539679267E+01    0.1710256008E-25
        96    0.7368104220E+00    0.6334221003E+00    0.1126333703E-02    0.1369306394E+01    0.1942284474E-38
        97    0.2927200790E+00    0.3422609156E+00    0.7841966907E-03    0.1088662108E+01    0.9357622969E-13
        98    0.5547866900E+00    0.4814203829E+00    0.8976811208E-03    0.1095445115E+01    0.1000000000E+01
        99    0.3840294930E+00    0.4125334889E+00    0.8772721663E-03    0.1118033989E+01    0.9357622969E-13
       100    0.4316974000E+00    0.3989247263E+00    0.6273573526E-03    0.1959591794E+01    0.5415291070E-13
       101    0.3899657590E+00    0.3663512782E+00    0.7904207343E-03    0.1192569588E+01    0.2021246561E-13
       102    0.4453108160E+00    0.4620202563E+00    0.7181448967E-03    0.1959591794E+01    0.2772629028E-13
       103    0.4614195340E+00    0.4570983046E+00    0.8976811208E-03    0.1277753130E+01    0.4791102960E-13
       104    0.5007567780E+00    0.3711213896E+00    0.6934141099E-03    0.1533303756E+01    0.1250000000E+00
       105    0.8050555190E+00    0.6808735198E+00    0.1239690648E-02    0.8944271910E+00    0.1000000000E+01
       106    0.3128334480E+00    0.3889843193E+00    0.7279837206E-03    0.1539679267E+01    0.5067425210E-26
       107    0.8391521820E+00    0.6899117339E+00    0.1196908161E-02    0.1408429434E+01    0.4483333511E-26
       108    0.4173881510E+00    0.3336355614E+00    0.5848481109E-03    0.1592168333E+01    0.5787037037E+00
       109    0.2049554910E+00    0.2539687103E+00    0.6273573526E-03    0.1197528319E+01    0.4791102960E-13
       110    0.5690962020E+00    0.5598959052E+00    0.1045595588E-02    0.1277753130E+01    0.7486098375E-12
       111    0.3590109310E+00    0.3451574727E+00    0.6666666667E-03    0.1533303756E+01    0.9357622969E-13
       112    0.6145374790E+00    0.6290871449E+00    0.1196908161E-02    0.1088662108E+01    0.2075617366E-25
       113    0.1749857430E+00    0.2217719713E+00    0.5823869765E-03    0.1192569588E+01    0.9357622969E-13
       114    0.3273382870E+00    0.4348923163E+00    0.9706449608E-03    0.8944271910E+00    0.1827660736E-12
       115    0.4768189420E+00    0.5564163161E+00    0.9706449608E-03    0.1533303756E+01    0.3793524363E-38
       116    0.3999340460E+00    0.4323547018E+00    0.8024403273E-03    0.1495647694E+01    0.2846065448E-17
       117    0.3772633550E+00    0.3926199858E+00    0.7046957428E-03    0.1643878847E+01    0.1280963036E-06
       118    0.2902161830E+00    0.3242182256E+00    0.7841966907E-03    0.9938079900E+00    0.5067425210E-26
       119    0.4226954900E+00    0.3609934849E+00    0.6415824890E-03    0.1707623740E+01    0.1876503263E-02
       120    0.5651867370E+00    0.5482616350E+00    0.9297679862E-03    0.1639783183E+01    0.3947747190E-13
       121    0.4434971920E+00    0.5321115162E+00    0.9706449608E-03    0.1405528443E+01    0.4053940168E-25
       122    0.7026963610E+00    0.7321122894E+00    0.1260017059E-02    0.1399708424E+01    0.2075617366E-25
       123    0.3662186730E+00    0.3616811913E+00    0.6365512680E-03    0.1698789535E+01    0.1012785632E+00
       124    0.2068045730E+00    0.3110633495E+00    0.6273573526E-03    0.1338877363E+01    0.5120000000E+00
       125    0.8199890360E+00    0.8163442630E+00    0.1317367891E-02    0.1632993162E+01    0.1024251578E-39
       126    0.4590007830E+00    0.4014464863E+00    0.6586839453E-03    0.1819620952E+01    0.1250000000E+00
       127    0.6779738260E+00    0.5720483051E+00    0.1045595588E-02    0.1341640786E+01    0.6555210099E-38
       128    0.3117220920E+00    0.2972172812E+00    0.7181448967E-03    0.1093188789E+01    0.2772629028E-13
       129    0.7333756410E+00    0.6087247335E+00    0.1150826854E-02    0.1149977817E+01    0.1024251578E-39
       130    0.4426285290E+00    0.4910205623E+00    0.5663439443E-03    0.2666666667E+01    0.4381635656E-04
       131    0.1146146721E+01    0.9157246615E+00    0.9134118794E-03    0.1149977817E+01    0.8000000000E+01
       132    0.3576614500E+00    0.4080487714E+00    0.6172617902E-03    0.2044444444E+01    0.1357205148E-09
       133    0.7360418280E+00    0.7623680236E+00    0.1386828220E-02    0.1095445115E+01    0.8756510763E-26
       134    0.8592571220E+00    0.7635383366E+00    0.1260017059E-02    0.1564921593E+01    0.1942284474E-38
       135    0.4328504350E+00    0.4267173047E+00    0.8976811208E-03    0.1118033989E+01    0.4791102960E-13
       136    0.5382316480E+00    0.3697768404E+00    0.5903658718E-03    0.1405528443E+01    0.1728000000E+01
       137    0.4469054250E+00    0.5398661183E+00    0.9880259179E-03    0.1251937274E+01    0.4218750000E+00
       138    0.5626201230E+00    0.6742914850E+00    0.1111111111E-02    0.1639783183E+01    0.4053940168E-25
       139    0.7070856070E+00    0.8075485836E+00    0.1260017059E-02    0.1796292478E+01    0.1942284474E-38
       140    0.6220829420E+00    0.6846097452E+00    0.1260017059E-02    0.1149977817E+01    0.4483333511E-26
       141    0.2083022360E+00    0.2744852028E+00    0.5823869765E-03    0.1469693846E+01    0.5415291070E-13
       142    0.7982154140E+00    0.7187208236E+00    0.1317367891E-02    0.1119766740E+01    0.1891406325E-26
       143    0.5195225520E+00    0.5330996632E+00    0.9880259179E-03    0.1347219359E+01    0.1094563845E-26
       144    0.3286583920E+00    0.4196713801E+00    0.7438143890E-03    0.1643167673E+01    0.2021246561E-13
       145    0.6059457860E+00    0.7160635227E+00    0.1386828220E-02    0.8520128672E+00    0.3947747190E-13
       146    0.7268161230E+00    0.8024937974E+00    0.1386828220E-02    0.1306394529E+01    0.1891406325E-26
       147    0.5135508480E+00    0.5112546700E+00    0.9880259179E-03    0.1232375754E+01    0.3947747190E-13
       148    0.4157247150E+00    0.3152325171E+00    0.5984540806E-03    0.1533303756E+01    0.2962962963E+00
       149    0.4692462720E+00    0.5158222812E+00    0.8447502772E-03    0.1469693846E+01    0.1000000000E+01
       150    0.4615820890E+00    0.5446359310E+00    0.1045595588E-02    0.1197528319E+01    0.1942284474E-38
       151    0.8110448930E+00    0.6564236572E+00    0.1196908161E-02    0.1232375754E+01    0.2075617366E-25
       152    0.5980136300E+00    0.6935786421E+00    0.9880259179E-03    0.2190890230E+01    0.1094563845E-26
       153    0.5832403240E+00    0.3866014666E+00    0.7379573397E-03    0.1490711985E+01    0.1616997249E-12
       154    0.4830235740E+00    0.5083606388E+00    0.9880259179E-03    0.1217161239E+01    0.2021246561E-13
       155    0.3023554690E+00    0.3514262530E+00    0.6273573526E-03    0.1399708424E+01    0.1000000000E+01
       156    0.3070454010E+00    0.2937812112E+00    0.6758002217E-03    0.1229837388E+01    0.2772629028E-13
       157    0.8270940520E+00    0.7806017567E+00    0.1196908161E-02    0.1149977817E+01    0.2370370370E+01
       158    0.4295663760E+00    0.4857171289E+00    0.8976811208E-03    0.1118033989E+01    0.1000000000E+01
       159    0.4554095410E+00    0.5564604917E+00    0.8714966604E-03    0.1895789306E+01    0.3718438013E-06
       160    0.3134395000E+00    0.3678627229E+00    0.6273573526E-03    0.1796292478E+01    0.4791102960E-13
       161    0.6934269070E+00    0.6239152335E+00    0.1150826854E-02    0.1229837388E+01    0.8756510763E-26
       162    0.8301633380E+00    0.7190792561E+00    0.1239690648E-02    0.1405456738E+01    0.1891406325E-26
       163    0.4566563490E+00    0.5401336887E+00    0.8772721663E-03    0.1788854382E+01    0.1710256008E-25
       164    0.2587586830E+00    0.3376745165E+00    0.6758002217E-03    0.1460593487E+01    0.4791102960E-13
       165    0.4181152800E+00    0.5238565068E+00    0.7438143890E-03    0.2190890230E+01    0.2021246561E-13
       166    0.3502652160E+00    0.3789984011E+00    0.8333333333E-03    0.1102270384E+01    0.9357622969E-13
       167    0.6299465170E+00    0.4191173436E+00    0.8255447157E-03    0.1341640786E+01    0.2955322382E-25
       168    0.4064409580E+00    0.4328315151E+00    0.8772721663E-03    0.1224744871E+01    0.1827660736E-12
       169    0.4378227670E+00    0.4732387490E+00    0.7560102351E-03    0.1721413752E+01    0.5120000000E+00
       170    0.5910729720E+00    0.5117220961E+00    0.8976811208E-03    0.1564921593E+01    0.4791102960E-13
       171    0.5764326890E+00    0.6037648687E+00    0.1078057620E-02    0.1389758458E+01    0.5745059748E-04
       172    0.6921368540E+00    0.6785848955E+00    0.1239690648E-02    0.1192569588E+01    0.8194012624E-39
       173    0.7090689680E+00    0.6029781290E+00    0.1150826854E-02    0.1119766740E+01    0.1891406325E-26
       174    0.6097279790E+00    0.5812867166E+00    0.9880259179E-03    0.1469693846E+01    0.4218750000E+00
       175    0.3684484680E+00    0.4868013694E+00    0.6904961124E-03    0.2190890230E+01    0.2021246561E-13
       176    0.5099444040E+00    0.5445657951E+00    0.1040121165E-02    0.1217161239E+01    0.2021246561E-13
       177    0.3361618310E+00    0.4934629239E+00    0.7841966907E-03    0.1277753130E+01    0.1953125000E+01
       178    0.3400926380E+00    0.3882228615E+00    0.5984540806E-03    0.1917028951E+01    0.2962962963E+00
       179    0.5277915540E+00    0.6068929828E+00    0.1126333703E-02    0.1229837388E+01    0.2075617366E-25
       180    0.7508266880E+00    0.7136652948E+00    0.1317367891E-02    0.1093188789E+01    0.8756510763E-26
       181    0.4784187630E+00    0.5228765718E+00    0.9387106874E-03    0.1473183016E+01    0.1522263680E-02
       182    0.2889140620E+00    0.3422609156E+00    0.7841966907E-03    0.1088662108E+01    0.1827660736E-12
       183    0.7002397760E+00    0.7764865802E+00    0.1260017059E-02    0.1632993162E+01    0.2075617366E-25
       184    0.6101814870E+00    0.7702288107E+00    0.1196908161E-02    0.1095445115E+01    0.2370370370E+01
       185    0.4382808080E+00    0.4863939687E+00    0.8148758430E-03    0.1734308140E+01    0.5421233577E-22
       186    0.4183440790E+00    0.4942942747E+00    0.8788910430E-03    0.1541952378E+01    0.9586666220E-09
       187    0.6746592050E+00    0.6110967158E+00    0.1126333703E-02    0.1251937274E+01    0.2218103222E-12
       188    0.4817740000E+00    0.5082482053E+00    0.1045595588E-02    0.1006230590E+01    0.4741905454E-39
       189    0.4157246880E+00    0.4077498307E+00    0.6421933731E-03    0.1951618190E+01    0.5265557254E-03
       190    0.3629286660E+00    0.3708626862E+00    0.7018177331E-03    0.1229837388E+01    0.1000000000E+01
       191    0.3909601510E+00    0.3790684470E+00    0.8631201405E-03    0.9938079900E+00    0.2021246561E-13
       192    0.3924126380E+00    0.3996996372E+00    0.8631201405E-03    0.1102270384E+01    0.2021246561E-13
       193    0.7117042530E+00    0.7725470880E+00    0.1239690648E-02    0.1686548085E+01    0.3947747190E-13
       194    0.6381139480E+00    0.5122210624E+00    0.9439065738E-03    0.1398651642E+01    0.4456474229E-05
       195    0.4887087430E+00    0.4490170353E+00    0.9297679862E-03    0.1118033989E+01    0.1094563845E-26
       196    0.3477681980E+00    0.4450754607E+00    0.6198453242E-03    0.2190890230E+01    0.1250000000E+00
       197    0.7070173020E+00    0.6085055051E+00    0.1045595588E-02    0.1533303756E+01    0.6555210099E-38
       198    0.5904721510E+00    0.6601103496E+00    0.1239690648E-02    0.1095445115E+01    0.9357622969E-13
       199    0.4522164150E+00    0.5436927052E+00    0.1045595588E-02    0.1192569588E+01    0.1942284474E-38
       200    0.4153471440E+00    0.4227220564E+00    0.9297679862E-03    0.9797958971E+00    0.2021246561E-13
       201    0.7342464460E+00    0.7541529051E+00    0.1040121165E-02    0.2319003617E+01    0.3694152978E-26
       202    0.6967764940E+00    0.6174041143E+00    0.1239690648E-02    0.8709296863E+00    0.1891406325E-26
       203    0.4733150760E+00    0.5703209520E+00    0.1111111111E-02    0.1093188789E+01    0.4053940168E-25
       204    0.4850654370E+00    0.4968068177E+00    0.7597053915E-03    0.1990612891E+01    0.3669554471E-04
       205    0.4046554620E+00    0.5004450240E+00    0.7043309783E-03    0.2212033207E+01    0.1183826244E-03
       206    0.7437079840E+00    0.6571151051E+00    0.1045595588E-02    0.1788854382E+01    0.6555210099E-38
       207    0.4236934140E+00    0.5317018879E+00    0.6300085293E-03    0.2556038602E+01    0.2962962963E+00
       208    0.6811504600E+00    0.5913722244E+00    0.6904961124E-03    0.2740640639E+01    0.2021246561E-13
       209    0.7371886030E+00    0.7884143052E+00    0.1386828220E-02    0.1232375754E+01    0.1891406325E-26
       210    0.3151884010E+00    0.3391620006E+00    0.7279837206E-03    0.1277753130E+01    0.5067425210E-26
       211    0.4605482070E+00    0.4558590683E+00    0.7560102351E-03    0.1788854382E+01    0.4791102960E-13
       212    0.5863503720E+00    0.6313053300E+00    0.1150826854E-02    0.9585144756E+00    0.1000000000E+01
       213    0.4816198260E+00    0.5325340869E+00    0.8713296564E-03    0.1770613584E+01    0.5815227439E-28
       214    0.3129863360E+00    0.2542513975E+00    0.5631668514E-03    0.1341640786E+01    0.2962962963E+00
       215    0.4394415450E+00    0.4844627401E+00    0.7673012856E-03    0.1897976171E+01    0.3625935284E-19
       216    0.5498654110E+00    0.6218385674E+00    0.1169696222E-02    0.1149977817E+01    0.4741905454E-39
       217    0.3110290740E+00    0.3239891212E+00    0.6758002217E-03    0.1229837388E+01    0.5120000000E+00
       218    0.4009895560E+00    0.4748825383E+00    0.6619450635E-03    0.2229990391E+01    0.8239596260E-02
       219    0.9191178590E+00    0.7224209956E+00    0.1239690648E-02    0.1423024947E+01    0.8194012624E-39
       220    0.7528530840E+00    0.7784219263E+00    0.1260017059E-02    0.1643167673E+01    0.2075617366E-25
       221    0.5030647490E+00    0.5489926963E+00    0.9450127939E-03    0.1277753130E+01    0.1000000000E+01
       222    0.7362120740E+00    0.6431403956E+00    0.1239690648E-02    0.1006230590E+01    0.1024251578E-39
       223    0.8054612430E+00    0.6408638951E+00    0.1126333703E-02    0.1408429434E+01    0.4483333511E-26
       224    0.5082460120E+00    0.3857718287E+00    0.6300085293E-03    0.1788854382E+01    0.2962962963E+00
       225    0.5510467210E+00    0.5693048195E+00    0.1040121165E-02    0.1347219359E+01    0.3694152978E-26
       226    0.5208286750E+00    0.5474598263E+00    0.1040121165E-02    0.1232375754E+01    0.3947747190E-13
       227    0.5745231600E+00    0.6738076119E+00    0.1260017059E-02    0.1093188789E+01    0.2075617366E-25
       228    0.5339943690E+00    0.5773532989E+00    0.7841966907E-03    0.1277753130E+01    0.3375000000E+01
       229    0.6221542130E+00    0.6626365517E+00    0.9880259179E-03    0.1897366596E+01    0.4218750000E+00
       230    0.5449958260E+00    0.5601151336E+00    0.1150826854E-02    0.8944271910E+00    0.3947747190E-13
       231    0.4526603080E+00    0.3157124668E+00    0.7379573397E-03    0.1118033989E+01    0.1616997249E-12
       232    0.6810124730E+00    0.6742367993E+00    0.1260017059E-02    0.1095445115E+01    0.2218103222E-12
       233    0.4059015290E+00    0.3717591109E+00    0.6758002217E-03    0.1639783183E+01    0.2772629028E-13
       234    0.2906937350E+00    0.3645470305E+00    0.5823869765E-03    0.1632993162E+01    0.1000000000E+01
       235    0.7604543850E+00    0.8375537694E+00    0.1386828220E-02    0.1490711985E+01    0.9357622969E-13
       236    0.5229928630E+00    0.5305008721E+00    0.9450127939E-03    0.1490711985E+01    0.4791102960E-13
       237    0.7422768930E+00    0.4798278115E+00    0.8783252791E-03    0.1465418364E+01    0.8214603337E-02
       238    0.3432217070E+00    0.3796700006E+00    0.7279837206E-03    0.1490711985E+01    0.9357622969E-13
       239    0.6768240240E+00    0.6504443510E+00    0.1150826854E-02    0.1369306394E+01    0.8194012624E-39
       240    0.4995916060E+00    0.6160072827E+00    0.1126333703E-02    0.1277753130E+01    0.2218103222E-12
       241    0.5929261160E+00    0.6060893505E+00    0.8255447157E-03    0.1277753130E+01    0.3375000000E+01
       242    0.5008445410E+00    0.3498381141E+00    0.6850589095E-03    0.1490711985E+01    0.1616997249E-12
       243    0.8860087040E+00    0.7337033112E+00    0.1150826854E-02    0.1807015806E+01    0.1891406325E-26
       244    0.7002963550E+00    0.4069649438E+00    0.8255447157E-03    0.1277753130E+01    0.8756510763E-26
       245    0.8195477270E+00    0.8102592984E+00    0.1386828220E-02    0.1347219359E+01    0.8194012624E-39
       246    0.1111668838E+01    0.9161328648E+00    0.9839431196E-03    0.8944271910E+00    0.8000000000E+01
       247    0.8630102940E+00    0.7807016504E+00    0.1317367891E-02    0.1445612645E+01    0.8756510763E-26
       248    0.6005093280E+00    0.7436935506E+00    0.1260017059E-02    0.1460593487E+01    0.2218103222E-12
       249    0.6930565360E+00    0.7293063507E+00    0.9706449608E-03    0.1006230590E+01    0.4629629630E+01
       250    0.2396864040E+00    0.2568613265E+00    0.5227977938E-03    0.1415260740E+01    0.5787037037E+00
       251    0.6702869460E+00    0.6557920084E+00    0.1128602461E-02    0.1478620331E+01    0.2891455121E-12
       252    0.5574501420E+00    0.6947529673E+00    0.1169696222E-02    0.1533303756E+01    0.3793524363E-38
       253    0.5362785560E+00    0.5753787512E+00    0.9706449608E-03    0.1632993162E+01    0.4741905454E-39
       254    0.4843573140E+00    0.5720483051E+00    0.1045595588E-02    0.1341640786E+01    0.1942284474E-38
       255    0.3620032330E+00    0.3640878964E+00    0.7560102351E-03    0.1306394529E+01    0.2772629028E-13
       256    0.7554049170E+00    0.6774596498E+00    0.9297679862E-03    0.2319003617E+01    0.3694152978E-26
       257    0.3624631450E+00    0.4825119240E+00    0.1045595588E-02    0.8709296863E+00    0.1827660736E-12
       258    0.4011485260E+00    0.4758854195E+00    0.8447502772E-03    0.1259737582E+01    0.1000000000E+01
       259    0.2470906490E+00    0.3231825037E+00    0.5631668514E-03    0.1704025734E+01    0.2962962963E+00
       260    0.4315640850E+00    0.3937670726E+00    0.6666666667E-03    0.1788854382E+01    0.9357622969E-13
       261    0.4175653280E+00    0.4130078976E+00    0.7841966907E-03    0.1460593487E+01    0.2594521707E-26
       262    0.6441145570E+00    0.6134074216E+00    0.1196908161E-02    0.1006230590E+01    0.2427855592E-39
